"","birdType","bone","measurement","measurementType","boneAlone"
"1","SW","huml",80.78,"l","Humerus"
"2","SW","huml",88.91,"l","Humerus"
"3","SW","huml",79.97,"l","Humerus"
"4","SW","huml",77.65,"l","Humerus"
"5","SW","huml",62.8,"l","Humerus"
"6","SW","huml",61.92,"l","Humerus"
"7","SW","huml",79.73,"l","Humerus"
"8","SW","huml",86.98,"l","Humerus"
"9","SW","huml",118.2,"l","Humerus"
"10","SW","huml",145,"l","Humerus"
"11","SW","huml",165,"l","Humerus"
"12","SW","huml",186,"l","Humerus"
"13","SW","huml",172,"l","Humerus"
"14","SW","huml",148.91,"l","Humerus"
"15","SW","huml",149.19,"l","Humerus"
"16","SW","huml",140.59,"l","Humerus"
"17","SW","huml",135.23,"l","Humerus"
"18","SW","huml",124.53,"l","Humerus"
"19","SW","huml",127.03,"l","Humerus"
"20","SW","huml",106.02,"l","Humerus"
"21","SW","huml",113.84,"l","Humerus"
"22","SW","huml",108.62,"l","Humerus"
"23","SW","huml",110.33,"l","Humerus"
"24","SW","huml",63.62,"l","Humerus"
"25","SW","huml",70.73,"l","Humerus"
"26","SW","huml",71.65,"l","Humerus"
"27","SW","huml",47.51,"l","Humerus"
"28","SW","huml",46.2,"l","Humerus"
"29","SW","huml",41.13,"l","Humerus"
"30","SW","huml",72.5,"l","Humerus"
"31","SW","huml",75.05,"l","Humerus"
"32","SW","huml",175,"l","Humerus"
"33","SW","huml",188,"l","Humerus"
"34","SW","huml",210,"l","Humerus"
"35","SW","huml",185,"l","Humerus"
"36","SW","huml",179,"l","Humerus"
"37","SW","huml",183,"l","Humerus"
"38","SW","huml",185,"l","Humerus"
"39","SW","huml",272,"l","Humerus"
"40","SW","huml",270,"l","Humerus"
"41","SW","huml",100.62,"l","Humerus"
"42","SW","huml",100.05,"l","Humerus"
"43","SW","huml",147,"l","Humerus"
"44","SW","huml",156,"l","Humerus"
"45","SW","huml",127.39,"l","Humerus"
"46","SW","huml",108.84,"l","Humerus"
"47","SW","huml",132,"l","Humerus"
"48","SW","huml",177,"l","Humerus"
"49","SW","huml",182,"l","Humerus"
"50","SW","huml",150,"l","Humerus"
"51","SW","huml",171,"l","Humerus"
"52","SW","huml",161,"l","Humerus"
"53","SW","huml",175,"l","Humerus"
"54","SW","huml",22.63,"l","Humerus"
"55","SW","huml",24.11,"l","Humerus"
"56","SW","huml",28.98,"l","Humerus"
"57","SW","huml",310,"l","Humerus"
"58","SW","huml",250,"l","Humerus"
"59","SW","huml",420,"l","Humerus"
"60","SW","huml",250,"l","Humerus"
"61","SW","huml",300,"l","Humerus"
"62","SW","huml",23.67,"l","Humerus"
"63","SW","huml",30.11,"l","Humerus"
"64","SW","huml",36.5,"l","Humerus"
"65","SW","huml",83.45,"l","Humerus"
"66","SW","huml",86.23,"l","Humerus"
"67","SW","huml",34.38,"l","Humerus"
"68","SW","huml",32.47,"l","Humerus"
"69","SW","huml",38.34,"l","Humerus"
"70","SW","huml",41.21,"l","Humerus"
"71","SW","huml",26.63,"l","Humerus"
"72","SW","huml",26.81,"l","Humerus"
"73","SW","huml",45.26,"l","Humerus"
"74","SW","huml",43.45,"l","Humerus"
"75","SW","huml",99.45,"l","Humerus"
"76","SW","huml",106.94,"l","Humerus"
"77","SW","huml",109.25,"l","Humerus"
"78","SW","huml",107.25,"l","Humerus"
"79","SW","huml",53.12,"l","Humerus"
"80","SW","huml",54.19,"l","Humerus"
"81","SW","huml",64.72,"l","Humerus"
"82","SW","huml",69.12,"l","Humerus"
"83","SW","huml",143,"l","Humerus"
"84","SW","huml",154.3,"l","Humerus"
"85","SW","huml",90.49,"l","Humerus"
"86","SW","huml",89.59,"l","Humerus"
"87","SW","huml",89,"l","Humerus"
"88","SW","huml",89.48,"l","Humerus"
"89","SW","huml",80.7,"l","Humerus"
"90","SW","huml",80.97,"l","Humerus"
"91","SW","huml",75.94,"l","Humerus"
"92","SW","huml",107.84,"l","Humerus"
"93","SW","huml",69.37,"l","Humerus"
"94","SW","huml",102.8,"l","Humerus"
"95","SW","huml",100.28,"l","Humerus"
"96","SW","huml",72.17,"l","Humerus"
"97","SW","huml",103.14,"l","Humerus"
"98","SW","huml",107.41,"l","Humerus"
"99","SW","huml",68.06,"l","Humerus"
"100","SW","huml",65.71,"l","Humerus"
"101","SW","huml",67.06,"l","Humerus"
"102","SW","huml",67.59,"l","Humerus"
"103","SW","huml",100.27,"l","Humerus"
"104","SW","huml",68.5,"l","Humerus"
"105","SW","huml",68.15,"l","Humerus"
"106","SW","huml",107.76,"l","Humerus"
"107","SW","huml",109.7,"l","Humerus"
"108","SW","huml",100.69,"l","Humerus"
"109","SW","huml",100.08,"l","Humerus"
"110","SW","huml",70.04,"l","Humerus"
"111","SW","huml",75.95,"l","Humerus"
"112","SW","huml",106.23,"l","Humerus"
"113","SW","huml",105.19,"l","Humerus"
"114","SW","huml",76.49,"l","Humerus"
"115","SW","huml",65.66,"l","Humerus"
"116","SW","huml",98.73,"l","Humerus"
"117","SW","humw",6.68,"w","Humerus"
"118","SW","humw",6.63,"w","Humerus"
"119","SW","humw",6.37,"w","Humerus"
"120","SW","humw",5.7,"w","Humerus"
"121","SW","humw",4.84,"w","Humerus"
"122","SW","humw",4.78,"w","Humerus"
"123","SW","humw",5.94,"w","Humerus"
"124","SW","humw",5.68,"w","Humerus"
"125","SW","humw",7.82,"w","Humerus"
"126","SW","humw",10.42,"w","Humerus"
"127","SW","humw",11.45,"w","Humerus"
"128","SW","humw",9.83,"w","Humerus"
"129","SW","humw",8.44,"w","Humerus"
"130","SW","humw",6.78,"w","Humerus"
"131","SW","humw",6.98,"w","Humerus"
"132","SW","humw",6.59,"w","Humerus"
"133","SW","humw",6.22,"w","Humerus"
"134","SW","humw",6.01,"w","Humerus"
"135","SW","humw",6.18,"w","Humerus"
"136","SW","humw",4.47,"w","Humerus"
"137","SW","humw",4.8,"w","Humerus"
"138","SW","humw",5.04,"w","Humerus"
"139","SW","humw",5.86,"w","Humerus"
"140","SW","humw",3.42,"w","Humerus"
"141","SW","humw",3.69,"w","Humerus"
"142","SW","humw",3.37,"w","Humerus"
"143","SW","humw",7.23,"w","Humerus"
"144","SW","humw",7.06,"w","Humerus"
"145","SW","humw",6.71,"w","Humerus"
"146","SW","humw",14.78,"w","Humerus"
"147","SW","humw",12.55,"w","Humerus"
"148","SW","humw",10.69,"w","Humerus"
"149","SW","humw",11.35,"w","Humerus"
"150","SW","humw",13.03,"w","Humerus"
"151","SW","humw",10.91,"w","Humerus"
"152","SW","humw",11.16,"w","Humerus"
"153","SW","humw",11.37,"w","Humerus"
"154","SW","humw",12.47,"w","Humerus"
"155","SW","humw",14.86,"w","Humerus"
"156","SW","humw",14.25,"w","Humerus"
"157","SW","humw",6.6,"w","Humerus"
"158","SW","humw",6.36,"w","Humerus"
"159","SW","humw",8.44,"w","Humerus"
"160","SW","humw",8.38,"w","Humerus"
"161","SW","humw",6.81,"w","Humerus"
"162","SW","humw",6.98,"w","Humerus"
"163","SW","humw",8.27,"w","Humerus"
"164","SW","humw",9.21,"w","Humerus"
"165","SW","humw",9.14,"w","Humerus"
"166","SW","humw",8.05,"w","Humerus"
"167","SW","humw",8.39,"w","Humerus"
"168","SW","humw",8.22,"w","Humerus"
"169","SW","humw",9.12,"w","Humerus"
"170","SW","humw",2.48,"w","Humerus"
"171","SW","humw",2.33,"w","Humerus"
"172","SW","humw",2.74,"w","Humerus"
"173","SW","humw",14.4,"w","Humerus"
"174","SW","humw",11.91,"w","Humerus"
"175","SW","humw",17.84,"w","Humerus"
"176","SW","humw",11.28,"w","Humerus"
"177","SW","humw",12.48,"w","Humerus"
"178","SW","humw",1.92,"w","Humerus"
"179","SW","humw",2.54,"w","Humerus"
"180","SW","humw",2.46,"w","Humerus"
"181","SW","humw",4.43,"w","Humerus"
"182","SW","humw",4.53,"w","Humerus"
"183","SW","humw",1.88,"w","Humerus"
"184","SW","humw",1.94,"w","Humerus"
"185","SW","humw",2.37,"w","Humerus"
"186","SW","humw",2.5,"w","Humerus"
"187","SW","humw",1.63,"w","Humerus"
"188","SW","humw",1.66,"w","Humerus"
"189","SW","humw",3.29,"w","Humerus"
"190","SW","humw",3.2,"w","Humerus"
"191","SW","humw",4.92,"w","Humerus"
"192","SW","humw",5.72,"w","Humerus"
"193","SW","humw",5.97,"w","Humerus"
"194","SW","humw",6.13,"w","Humerus"
"195","SW","humw",3,"w","Humerus"
"196","SW","humw",3.16,"w","Humerus"
"197","SW","humw",4.04,"w","Humerus"
"198","SW","humw",4.35,"w","Humerus"
"199","SW","humw",6.94,"w","Humerus"
"200","SW","humw",7.46,"w","Humerus"
"201","SW","humw",4.7,"w","Humerus"
